Health Center Name,Site Address,Site Web Address,Site Telephone Number,Organization Email Address,,Site City,Site State,Site Zip Code,Latitude,Longitude
"Redwoods Rural Health Center, Incorporated",930 S Fortuna Blvd,,707-923-2783,,,Fortuna,CA,95540-3009,-124.1469211,40.58128274
HORIZON HEALTH CARE INC,109 Pugh St,www.horizonhealthcare.org,605-685-6868,knewbold@horizonhealthcare.org,,Martin,SD,57551-7700,-101.7367699,43.17441748
"East Harlem Council For Human Services, Inc.",319 E 117th St,www.boriken.org,212-650-4908,,,New York,NY,10035-4902,-73.93629332,40.79738505
BORREGO COMMUNITY HEALTH FOUNDATION,590 Palm Canyon Dr STE 212,,760-767-5112,,,Borrego Springs,CA,92004-4000,-116.380188,33.25655754
CHEROKEE HEALTH SYSTEMS,2240 Sutherland Ave STE 103,,865-544-0406,,,Knoxville,TN,37919-2333,-83.95193222,35.95707545
Primary Health Network,811 Grandview Rd,https://primary-health.net,814-670-7950,,,Oil City,PA,16301-2077,-79.68821722,41.44133893
"Oconee Valley Healthcare, Inc",1041 Park Dr,,706-453-4549,,,Greensboro,GA,30642-3465,-83.22270971,33.48933707
"First Choice Community Healthcare, Inc.",1401 William St SE,www.fcch.com,505-768-5450,,,Albuquerque,NM,87102-4661,-106.6484197,35.06916191
Great Lakes Bay Health Centers,6297 Dixie Hwy,https://greatlakesbayhealthcenters.org,989-777-2151,lgalonska@healthdelivery.org,,Bridgeport,MI,48722-9635,-83.87275128,43.35453804
"Sterling Health Solutions, Inc.",133 School Dr,,859-404-7686,fmahoney@sterlinghealthky.org,,Carlisle,KY,40311-1052,-84.03750568,38.31443342
TRAVIS COUNTY HEALTHCARE DISTRICT,3154 E State Hwy 71 EB,,512-978-9015,,,Del Valle,TX,78617,-97.64253998,30.202281
Winding Waters Medical Clinic,401 N Main St STE B,www.windingwaters.org,541-432-6555,,,Joseph,OR,97846-5001,-117.2299531,45.35556068
"Central Mississippi Civic Improvement Association, Inc.",3502 W Northside Dr,www.jackson-hinds.com,601-362-5321,,,Jackson,MS,39213-4454,-90.23397097,32.35604752
WellSpace Health,3441 Marysville Blvd,www.wellspacehealth.org,916-563-7200,,,Sacramento,CA,95838-4512,-121.4314028,38.63123146
"Scranton Primary Health Care Center, Inc.",425 Alder St,www.scrantonprimary.org,570-955-5524,,,Scranton,PA,18505-4116,-75.66589007,41.39980861
SOUTHERN NEVADA HEALTH DISTRICT,2950 E Bonanza Rd,,702-759-0900,,,Las Vegas,NV,89101,-115.108329,36.17365275
"I.M. Sulzbacher Center for the Homeless, Inc.",611 E Adams St,www.sulzbachercenter.org,904-359-0457,,,Jacksonville,FL,32202-2847,-81.64952171,30.32601427
KOREAN COMMUNITY SERVICES,6494 Caballero Blvd,,714-503-6550,,,Buena Park,CA,90620-1128,-118.0197638,33.86583701
"Change, Incorporated",3136 West St,www.changeinc.org,304-748-2828,,,Weirton,WV,26062-4637,-80.58962217,40.40618168
"OPTIMUS HEALTH CARE, INC.",1351 Washington Blvd,www.optimushealthcare.org,203-621-3700,amcgoldrick@opthc.org,,Stamford,CT,06902-2419,-73.5433523,41.0580842
"Faith Healthcare, Inc",521 Crane Rd,,606-425-5768,mikevaught@careclinic20.com,,Somerset,KY,42501-9503,-84.59898653,37.060195
"Uphams Corner Health Committee, Inc.",36 Dearborn St,,617-287-8000,kpatnett@uphams.org,,Roxbury,MA,02119-2552,-71.07882123,42.32898734
"Plan De Salud Del Valle, Inc.",605 Education Ave,www.saludclinic.org,303-697-2583,,,Fort Morgan,CO,80701-8806,-103.808624,40.23849701
KEYSTONE RURAL HEALTH CENTER,820 5th Ave,http://www.keystonefamilymed.org,717-709-7999,,,Chambersburg,PA,17201-4219,-77.63987982,39.94559857
ARCARE,1372 US Highway 60 E,,870-347-2534,,,Burna,KY,42028-9239,-88.37760557,37.23120798
"Harbor Health Services, Inc.",250 Mount Vernon Street,www.hhsi.us,617-288-1140,,,Dorchester,MA,02125-3120,-71.04611185,42.31946067
"Sunset Park Health Council, Inc.",2402 Atlantic Ave,www.lmcmc.com,718-385-8335,,,Brooklyn,NY,11233-3402,-73.9052496,40.67586372
"RIGGS COMMUNITY HEALTH CENTER, INC.",1716 Hartford St,www.riggshealth.com,765-742-1567,,,Lafayette,IN,47904-2173,-86.87835675,40.42804127
"Community Health Centers, Inc.",1296 W Broad St,WWW.CHCFL.ORG,352-314-7400,,,Groveland,FL,34736-2012,-81.87157098,28.56590266
CHOPTANK COMMUNITY HEALTH SYSTEM,627 N Main St,,410-482-8187,,,Greensboro,MD,21639-1469,-75.80073335,38.98354171
FAMILY HEALTH CENTERS OF SAN DIEGO INC,1645 Logan Ave,www.fhcsd.org,619-906-4508,,,San Diego,CA,92113-1004,-117.1485279,32.70434587
San Francisco Community Clinic Consortium,238 Eddy St,,415-255-3525,,,San Francisco,CA,94102-2756,-122.4115983,37.78410075
Sunshine Community Health Center Incorporated,28468 S Talkeetna Spur,,907-733-2273,jgilmore@sunshineclinic.org,,Talkeetna,AK,99676,-150.0814956,62.25556999
"URBAN HEALTH PLAN, INC.",628 Tinton Ave,http://www.urbanhealthplan.org,718-589-2440,paloma.hernandez@urbanhealthplan.org,,Bronx,NY,10455-3218,-73.90544901,40.81471527
CITY OF CINCINNATI,5051 Anderson Pl,NA,513-363-2921,jeremy.gray@cincinnati-oh.gov,,Cincinnati,OH,45227-1601,-84.39895711,39.16260493
"Blue Ridge Community Health Services, Inc.",1058 Island Creek Rd,,828-625-9292,,,Lake Lure,NC,28746,-82.19381554,35.40529767
Greater Family Health,165 E Plank Rd,www.greaterfamilyhealth.org,844-599-3700,,,Sycamore,IL,60178-8757,-88.67438302,42.01545747
Katahdin Valley Health Center,60 South St,www.kvhc.org,207-538-3700,,,Houlton,ME,04730-1500,-67.84501492,46.11126733
"Migrant Health Center Western Region, Inc.",7 Calle Zuzuarregui,www.migrantspr.com,787-838-3029,mhc@migrantspr.com,,Maricao,PR,00606-1246,-66.97971836,18.18125256
"Community Health South Florida, Inc.",6601 SW 152nd Ave,www.chisouthfl.org,305-386-6667,,,Miami,FL,33193-2152,-80.44203119,25.70355003
"Ohio North East Health Systems, Inc.",726 Wick Ave,www.onehealthohio.org,330-747-9551,jwendell@onehealthohio.org,,Youngstown,OH,44505-2827,-80.6424632,41.10901478
MENDOCINO COMMUNITY HEALTH CLINIC INC,1165 S Dora St,,707-468-1010,,,Ukiah,CA,95482-8325,-123.209536,39.13593372
WAYNE MEMORIAL COMMUNITY HEALTH CENTERS,"600 Maple Ave, Ste 15",http://www.wmh.org/community_health_centers,570-251-6676,,,Honesdale,PA,18431-1460,-75.26864696,41.57497999
Open Door Community Health Centers,3750 Rohnerville Rd,www.opendoorhealth.com,707-725-6101,,,Fortuna,CA,95540-3118,-124.1308601,40.58222855
Visiting Nurse Association Of Central Jersey Community Health Center,806 5th Ave,,732-502-5151,thamas.thees@vnahg.org,,Asbury Park,NJ,07712-5363,-74.01053117,40.22575543
"Collier Health Services, Inc.",5450 Ymca Rd,,239-658-3000,,,Naples,FL,34109-5944,-81.76514051,26.21298258
"Operation Samahan, Inc.",10737 Camino Ruiz Ste 140,,844-200-2426,eprimero@samahanhealth.org,,San Diego,CA,92126-2371,-117.1437959,32.91414426
ARCARE,1009 Highway 18,www.arcare.net,870-237-3399,,,Lake City,AR,72437,-90.43811538,35.82039414
BLUE RIDGE MEDICAL CENTER INC,6919 Thomas Nelson Hwy,www.brmedical.org,434-263-6892,mkuntz@brmedical.com,,Lovingston,VA,22949-2101,-78.89647798,37.73278301
Intercare Community Health Network,6270 W Main St,www.intercare.org,269-427-7937,hwest@intercare.org,,Eau Claire,MI,49111-9480,-86.30599674,41.98538174
COMMUNITY ACTION COMMITTEE OF PIKE COUNTY,941 Market St,www.pikecac.org,740-947-7726,lbellomy@pikecac.org,,Piketon,OH,45661-9757,-82.98520388,39.06543848
United Medical Centers,202 James St,www.umchealth.com,830-563-2434,,,Brackettville,TX,78832-5117,-100.4173889,29.31237178
Neighborcare Health,525 Lilly Rd NE STE 110,https://neighborcare.org/clinics/,206-548-5710,,,Olympia,WA,98506-5101,-122.8444475,47.05394801
"Rural Alliance for Better Family Health, The",365 E Walnut St,www.smchc.org,417-264-2990,adcock@smchc.org,,Thayer,MO,65791-1523,-91.53130865,36.52369734
"La Clinica Del Valle Family Health Care Center, Inc.",215 N Rose St,www.laclinicahealth.org,541-535-6239,,,Phoenix,OR,97535-5734,-122.8197084,42.27343481
Costa Salud Community Health Centers Inc.,28 Calle Munoz Rivera W,N/A,787-823-5555 x224,lquinones@costasalud.com,,Rincon,PR,00677-2127,-67.25207628,18.33790673
"COMMUNITY HEALTH PROGRAMS, INCORPORATED",777 North St,,413-499-8531,,,Pittsfield,MA,01201-4147,-73.2489413,42.46063141
"WomenCare, Inc.","97 Great Teays Blvd, Ste 6",www.familycarewv.org,304-757-6999,,,Scott Depot,WV,25560-9816,-81.93644087,38.45162596
FAMILY HEALTH CENTERS OF SAN DIEGO INC,2201 Mission Ave STE 100,,760-826-2026,,,Oceanside,CA,92058-2313,-117.3612072,33.20746243
ADAMS COUNTY HEALTH CENTER INC,205 N Berkley St,https://www.achcid.org,208-253-4242,maryannd@ctcweb.net,,Council,ID,83612-5015,-116.4296532,44.73181411
"DETROIT CENTRAL CITY COMMUNITY MENTAL HEALTH, INCORPORATED",10 Peterboro St,,313-831-3160,kfarrow@centralcityhealth.com,,Detroit,MI,48201-2722,-83.05699999,42.34521478
"Community Health Clinic, Inc.",943 4th Ave,,724-335-3334,,,New Kensington,PA,15068-6409,-79.76650461,40.56588548
TIBURCIO VASQUEZ HEALTH CENTER INC,680 W Tennyson Rd,,510-780-9110,schwab.galindo@gmail.com,,Hayward,CA,94544-5236,-122.0680366,37.63209364
Bay Area Community Health,40910 Fremont Blvd,,510-770-8040,cpine@bach.health,,Fremont,CA,94538-4375,-121.9606414,37.53379395
CAMILLUS HEALTH CONCERN INC,1545 NW 7th Ave,www.camillushealth.org,305-577-4840,,,Miami,FL,33136-1403,-80.20693423,25.79073678
"UNITED NEIGHBORHOOD HEALTH SERVICES, INC.",639 Lafayette St,www.neighborhoodhealthtn.org,615-227-3000,,,Nashville,TN,37203-4226,-86.77721468,36.15387544
PRIMARY HEALTH CARE,112 E Linn St,www.phcinc.net,641-844-6230,,,Marshalltown,IA,50158-2901,-92.90990764,42.04669594
FINGER LAKES MIGRANT HEALTH CARE,60 Main St,N/A,,,,Port Byron,NY,13140-9767,-76.62388956,43.03243282
ECTOR COUNTY HOSPITAL DISTRICT,6030 W University Blvd,,432-640-6600,dgarcia@echd.org,,Odessa,TX,79764-8530,-102.448486,31.85326637
"EAST ARKANSAS FAMILY HEALTH CENTER, INC.",216 Arkansas St,eafhc.org,870-792-7676,,,Earle,AR,72331-2217,-90.45422694,35.26576352
LAWNDALE CHRISTIAN HEALTH CENTER,3745 W Ogden Ave,http://lawndale.org,872-588-3183,,,Chicago,IL,60623-2427,-87.71909869,41.8529462
"Cross Timbers Health Clinics, Inc.",1000 S Texas St Ste B,,254-893-5895,,,De Leon,TX,76444-2739,-98.53967164,32.10050744
"Clinic Inc, The",3721 S La Brea Ave,www.tohelpeveryone.org,323-730-1920,,,Los Angeles,CA,90016-5309,-118.3556275,34.019911
"Park Duvalle Community Health Center, Inc.",3015 Wilson Ave,www.pdchc.org,502-774-4401,rirvine@pdchc.org,,Louisville,KY,40211-1969,-85.80682859,38.22705307
"Maine Mobile Health Program, Inc",9 Green St,www.mainemigrant.org,207-622-9252 x1,,,Augusta,ME,04330-7451,-69.77644094,44.31281438
CareSTL Health,3312 Ashby Rd,www.carestlhealth.org,314-493-6200,pamela.meanes@carestlhealth.org,,Saint Ann,MO,63074-3529,-90.38800311,38.71857399
"SUNCOAST COMMUNITY HEALTH CENTERS, INC.",14254 Dr Martin Luther King Jr Blvd,www.suncoast-chc.org,813-651-5658,,,Dover,FL,33527-4414,-82.21759379,27.9949627
TRENTON MEDICAL CENTER,911 S Main St,palmsmg.org,352-463-2374,caleb@powellandjonescpa.com,,Trenton,FL,32693-3239,-82.8183175,29.60751598
"South Texas Rural Health Services, Inc",1010 W Hondo Ave Bldg 100,,830-663-9786,,,Devine,TX,78016-1921,-98.91612172,29.14721237
"SOUTHWEST VIRGINIA COMMUNITY HEALTH SYSTEMS, INCORPORATED",308 W Main St,svchs.com,276-496-4433,,,Saltville,VA,24370-3112,-81.76935216,36.87650522
"Community Health South Florida, Inc.",13100 SW 59th St,www.chisouthfl.org,305-385-6877,,,Miami,FL,33183-1202,-80.40671094,25.7133056
"Healthsource Of Ohio, Inc.",474 W Main St,www.healthsourceofohio.com,937-444-2528,,,Mount Orab,OH,45154-9452,-83.93441703,39.03377999
St Charles Health Council Inc,4124 Council Mountain Rd,,276-859-0859,,,Honaker,VA,24260-4994,-82.06885583,37.08084059
"HealthNet, Inc.",6425 Olivia Ln UNIT 409,,317-957-2000,,,Indianapolis,IN,46226-6157,-86.05794898,39.81639497
Philadelphia Fight,1233 Locust St FL 5 STE 500 FL 4 STE 400,www.fight.org,215-790-1788,jvirella@fight.org,,Philadelphia,PA,19107-5461,-75.1617373,39.94794673
"Dimock Community Health Center, Inc.",30 Dimock St,,617-442-8800,,,Roxbury,MA,02119-1210,-71.09633119,42.31920733
"Sun River Health, Inc.",75 Washington St,www.hrhcare.org,914-734-8600,,,Poughkeepsie,NY,12601-2303,-73.9283943,41.7085157
COMMUNITY HEALTH PARTNERS,112 W Lewis St,chphealth.org,406-222-1111,,,Livingston,MT,59047-3066,-110.5594559,45.66013436
INFINITY HEALTH,1001 E Columbus St,http://chcsi.org/,641-446-2383,,,Mount Ayr,IA,50854-2220,-94.22619099,40.71631901
HUDSON HEADWATERS HEALTH NETWORK,87 Plaza Blvd,www.hhhn.org,518-536-7060,,,Plattsburgh,NY,12901-6438,-73.49775768,44.70200928
COUNTY OF INGHAM,815 N Fairview Ave RM 100,,517-887-4349,,,Lansing,MI,48912-3129,-84.52114799,42.74200629
Lone Star Circle Of Care,2295 N Austin Ave,www.lonestarcares.org,877-800-5722,,,Georgetown,TX,78626-4514,-97.66582272,30.66436082
TRAVIS COUNTY HEALTHCARE DISTRICT,1210 W Braker Ln,http://www.communitycaretx.org,512-978-9000,,,Austin,TX,78758-3801,-97.69409295,30.38539545
EL RIO SANTA CRUZ NEIGHBORHOOD HEALTH CE,320 W Prince Rd,www.elrio.org,520-670-3707,clintonk@elrio.org,,Tucson,AZ,85705-3526,-110.9764892,32.27198893
"RESOURCES FOR HUMAN DEVELOPMENT, INC.",807 N 48th St,,267-597-3604 x26759,,,Philadelphia,PA,19139-1854,-75.21667716,39.96709957
COUNTY OF LANE,1022 Green Acres Rd,http://www.lanecounty.org/Departments/HHS/CHC/Pages/default.aspx,541-682-3550,,,Eugene,OR,97408-6501,-123.0957401,44.09342934
Centro Medico Community Clinic Inc,1303 W 6th St STE 101,,951-278-8910,apisk@centromedicoclinic.com,,Corona,CA,92882-3196,-117.5891599,33.87785362
NORTHSHORE HEALTH CENTERS,714 Lincolnway,,219-763-8112,dhall@northshorehealth.org,,Laporte,IN,46350-3353,-86.72075677,41.61143964
"Bluestone Health Association, Inc.",3991 Beckley Rd,,304-431-5499,,,Princeton,WV,24740-7660,-81.14021432,37.40106288
Primary Health Network,1701 12th Ave,www.primary-health.net,814-942-9600,,,Altoona,PA,16601-3100,-78.40785485,40.51287698
Lee Memorial Health System,23450 Via Coconut Pt,http://www.leehealth.org/locations/locations-pediatric-locations.asp,239-343-9888,robert.johns@leememorial.org,,Estero,FL,34135-1877,-81.80729301,26.39587784
ONEWORLD COMMUNITY HEALTH CENTERS INC,2207 Georgia Ave,www.oneworldomaha.org,402-502-8855,askolkin@oneworldomaha.org,,Bellevue,NE,68005-4524,-95.9242261,41.16794744
Southeast Alaska Regional Health Consortium,Community Building,,907-874-4700,,,Point Baker,AK,99927,-133.62643,56.35118
"PREFERRED FAMILY HEALTHCARE, INCORPORATED",420 N Washington St,,573-603-1460,,,Monroe City,MO,63456-1345,-91.73228879,39.65693018
Presbyterian Medical Services,57 Sagebrush Rd,,575-586-1604,,,Questa,NM,87556,-105.5864207,36.72846086
OUTSIDE IN,2301 SE Willard St,www.outsidein.org,503-535-3804,catherineh@outsidein.org,,Portland,OR,97222-7764,-122.6373101,45.44063176
Community Health Systems Inc,74 Eclipse Ctr,www.chsofwi.org,608-361-0311,,,Beloit,WI,53511-3550,-89.03219021,42.51926567
AMOSKEAG HEALTH,88 Mcgregor St,www.amoskeaghealth.org,603-626-9500,,,Manchester,NH,03102-3750,-71.47379603,42.99104893
"Dr. Arenia C. Mallory Community Health Center, Inc.",300 Yazoo St,www.mallorychc.org,662-834-5000,,,Lexington,MS,39095-3623,-90.05285005,33.10898426
Valley Health Partners Community Health Center,1627 Chew St STE 101,https://www.valleyhealthpartners.org/,610-969-4370,veronica.gonzalez@valleyhealthpartners.org,,Allentown,PA,18102-3648,-75.49389552,40.60091282
"THE BREVARD HEALTH ALLIANCE, INC.",4315 Woodland Park Dr,,321-241-6868,,,West Melbourne,FL,32904-2097,-80.69735259,28.09349792
"Health Help, Incorporated",89 Farra Dr,,859-792-2153,,,Lancaster,KY,40444-9598,-84.58126166,37.61136963
SOUTH CENTRAL MISSOURI COMMUNITY HEALTH CENTER,1081 E 18th St,www.your-chc.org,573-426-4455,mmundell@your-chc.org,,Rolla,MO,65401-2448,-91.75543744,37.95924007
"ERIE, COUNTY OF",528 Division St,,419-626-5623 x5116,,,Kelleys Island,OH,43438-6519,-82.7084507,41.60630857
Columbia Basin Health Association,140 E Main St,www.cbha.org,509-488-5256,,,Othello,WA,99344-1040,-119.1732777,46.82613731
HO-OLA LAHUI HAWAII INC,4643 Waimea Canyon Dr,www.hoolalahui.org,808-240-0100,,,Waimea,HI,96796,-159.6701479,21.96002091
COLUMBIA VALLEY COMMUNITY HEALTH,1855 4th St SE,www.cvch.org,509-662-6000,,,East Wenatchee,WA,98802-9202,-120.2560701,47.39856752
ARCARE,1310 N Center St,www.arcare.net,870-347-2534,,,Lonoke,AR,72086-2011,-91.89453387,34.79586887
"Multnomah, County of",3505 SE 182nd Ave,,503-988-5488,,,Gresham,OR,97030-5028,-122.4756075,45.49632201
UNIVERSITY COMMUNITY HEALTH SERVICES INC,601 Benton Ave,www.uchshealth.org,615-292-9770,bezar.omer@connectus.org,,Nashville,TN,37204-2303,-86.76896278,36.13170405
"Community Health Center, Incorporated",896 Main St,,860-465-5636,mark@chc1.com,,Willimantic,CT,06226-2310,-72.21603124,41.71259131
"Jane Pauley Community Health Center, Inc.",1311 N Arlington Ave,,844-695-7242,mhackett@janepauleychc.org,,Indianapolis,IN,46219-3286,-86.06429442,39.78610806
"Gaston Family Health Services, Inc.",336 Burtonwood Dr,www.kintegra.org,704-874-1900,,,Gastonia,NC,28054-4054,-81.15444427,35.25707625
TYLER FAMILY CIRCLE OF CARE,2231 W Gentry Pkwy,tylercircleofcare.org,903-535-9041,kristen.harris@txfcc.org,,Tyler,TX,75702-2809,-95.32610674,32.36701407
LINCOLN COUNTY PRIMARY CARE CENTER INC,202 Larry Joe Harless Dr,swvhs.org,304-664-6270,greg.elkins@swvhs.org,,Gilbert,WV,25621,-81.86498652,37.61191284
PAIUTE INDIAN TRIBE OF UTAH,440 N Paiute Dr,www.utahpaiutes.org,435-586-1112,,,Cedar City,UT,84721-6181,-113.057588,37.68513202
Mountain Comprehensive Health Corporation,10 E Main St,,606-633-4823,,,Whitesburg,KY,41858-7346,-82.82186803,37.11764237
ARCARE,11720 Sr 27,,870-347-2534,,,Hector,AR,72843-8712,-92.97535841,35.4718953
Southeast Alaska Regional Health Consortium,101 Salmon Way,www.searhc.org,907-735-2250,,,Pelican,AK,99832,-136.2338026,57.96120547
New Hanover Community Health Center Inc,307 Harnett St APT A,mednorth.org,910-343-0270,,,Wilmington,NC,28401-3058,-77.94682981,34.24685157
Northeast Valley Health Corporation,37926 47th St E,,661-942-2391,patriciamoraga@nevhc.org,,Palmdale,CA,93552-3272,-118.0449903,34.57141831
"Family Health Center Of Marshfield, Inc.",113 Miner Ave W,NA,715-532-2900,,,Ladysmith,WI,54848-1721,-91.10097031,45.46426747
"Valley Family Health Care, Inc.",7 SW 3rd St,,541-889-6119,,,Ontario,OR,97914-2742,-116.9667949,44.02692233
"Boston Mountain Rural Health Center, Inc.",HC 31 BOX 310,www.bmrhc.net,870-428-5391,debbieackerson@bmrhc.net,,Deer,AR,72628-9616,-93.24858003,35.86146001
Lone Star Circle Of Care,"2112 SW H K Dodgen Loop, Ste 110",www.lonestarcares.org,877-800-5722,,,Temple,TX,76504-7011,-97.375902,31.07816
"Broad Top Area Medical Center, Inc., The",835 Washington St,,814-506-8114,awaite@broadtopmedical.com,,Huntingdon,PA,16652-1725,-78.01714015,40.48825589
"Mercy Health Services, Inc.",1776 Declaration Way,,615-472-4600,cindys@mercytn.org,,Thompsons Station,TN,37179-9674,-86.88550526,35.82551724
HEART OF TEXAS COMMUNITY HEALTH CENTER INC,911 S 20th St,www.wacofhc.org,254-754-2600,mpolk@wacofhc.org,,Waco,TX,76706-1955,-97.13841234,31.53878623
ADVOCATES FOR A HEALTHY COMMUNITY INC,695 Millcreek Rd,https://www.lebanon.k12.mo.us/boswell,417-657-6004,,,Lebanon,MO,65536-3338,-92.6548506,37.68400402
San Francisco Community Clinic Consortium,995 Potrero Ave BLDG 80,,415-206-8000,,,San Francisco,CA,94110-2859,-122.4066633,37.75729623
CIRCLE THE CITY,3522 N 3rd Ave,www.circlethecity.org,602-776-7676,astewart@circlethecity.org,,Phoenix,AZ,85013-3903,-112.0782364,33.48882401
"Hopewell Health Centers, Inc.",112 E Memorial Dr,www.hopewellhealth.org,740-992-2192,,,Pomeroy,OH,45769-9569,-82.04474219,39.03747913
THE R O A D S FOUNDATION,4800 E Los Coyotes Diagonal,https://roadsfoundation.org,562-506-1313,,,Long Beach,CA,90815-2827,-118.1377781,33.79307226
MEDLINK GEORGIA INC,711 Rose Ln,,706-886-9441,,,Toccoa,GA,30577-2542,-83.29947252,34.555669
NORTHWEST COMMUNITY HEALTH CARE,142A Danielson Pike,www.welloneri.org,401-647-3702,,,Foster,RI,02825-1485,-71.75091147,41.8126932
"Bronx Community Health Network, Inc",2780 Reservoir Ave,www.montefiore.org,718-364-7400,dagu@bchnhealth.org,,Bronx,NY,10468-2702,-73.89777001,40.87082649
"PREMIER COMMUNITY HEALTHCARE GROUP, INC.",37912 Church Ave,premierhc.org,352-518-2000,jresnick@hcnetwork.org,,Dade City,FL,33525-4207,-82.18876885,28.36294988
"Boston Health Care For The Homeless Program, Inc., The",90 Cushing Ave,,617-436-8600,ssullivan@bhchp.org,,Dorchester,MA,02125-2028,-71.06317121,42.31383734
Community Health Foundation of Puerto Rico Inc.,2 Calle Marginal,www.chfpr.org,787-203-3826 x1622,,,Bayamon,PR,00959-5530,-66.16138302,18.38913298
"North End Community Health Committee, Incorporated",15 Tufts St,www.northendwaterfront.org,617-643-8000,csouza@partners.org,,Charlestown,MA,02129-2711,-71.05681077,42.37788556
"Goshen Medical Center, Inc.",432 SW Center St,goshenmedical.org,910-267-1942,,,Faison,NC,28341-8820,-78.13583477,35.11100341
"Family Health Center Of Marshfield, Inc.",75 Sherry Ave,NA,715-762-0200,,,Park Falls,WI,54552-1468,-90.4419275,45.93082298
"Aunt Martha's Health And Wellness, Inc.",20000 Governors Dr Ste 103,www.auntmarthas.org,877-692-8686,,,Olympia Fields,IL,60461-3001,-87.70277996,41.52609799
SALUD PARA LA GENTE,65 Neilson St Ste 101,,831-728-8250,,,Watsonville,CA,95076-2491,-121.792896,36.92694701
Detroit Health Care For The Homeless,1355 Oakman Blvd,www.ahcdetroit.org,313-494-4399,baperkins@comcast.net,,Detroit,MI,48238-2849,-83.12107612,42.39960961
"HealthNet, Inc.",2944 Clifton St,,317-957-2275,,,Indianapolis,IN,46208-4938,-86.18048754,39.80982201
"LAKES COMMUNITY HEALTH CENTER, INC., THE",600 W Shell Creek Rd,www.northlakesclinic.org,715-466-2201,,,Minong,WI,54859-9302,-91.8275032,46.10352216
LA MAESTRA FAMILY CLINIC INC,209 Highland Ave,www.lamaestra.org,619-434-7308,,,National City,CA,91950-1518,-117.1005641,32.68301099
"Harbor Health Services, Inc.",8 Minot St,www.hhsi.us,617-282-3200,,,Dorchester,MA,02122-2016,-71.04431117,42.28630731
"Community Health Care Center, Incorporated",18 6th St N STE 100ACDE,,406-454-6973,,,Great Falls,MT,59401-3192,-111.2973637,47.50606116
ROGUE COMMUNITY HEALTH,1322 E Mcandrews Rd,roguecommunityhealth.org,541-777-3688,,,Medford,OR,97504-6177,-122.8682012,42.34106097
BARTZ-ALTADONNA COMMUNITY HEALTH CENTER,9300 N Loop Blvd STE C,,661-874-4050,ssalomon@bachc.org,,California City,CA,93505-2269,-117.9623255,35.13321826
"LONGVIEW WELLNESS CENTER, INC.",1107 E Marshall Ave,www.longviewwellness.org,903-758-2610,,,Longview,TX,75601-5602,-94.72458415,32.5039325
"Rural Health Network of Monroe County Florida, Inc",3706 N Roosevelt Blvd STE C,rhnmc.org,305-517-6613 x306,jbroadie@rhnmc.org,,Key West,FL,33040-4566,-81.75613708,24.57198179
RIVER VALLEY PRIMARY CARE SERVICES,US-71 N,www.rvpcs.org/,479-369-2091,jerryw@rvpcs.org,,Mountainburg,AR,72946,-94.18493871,35.5897029
MCR HEALTH INC,119 Shamrock Blvd,,941-776-4000,pcarnegie@mcrhs.org,,Venice,FL,34293-1630,-82.42218725,27.07384548
Lifelong Medical Care,9933 Macarthur Blvd,WWW.LIFELONGMEDICAL.ORG,510-568-3206,,,Oakland,CA,94605-4853,-122.1566627,37.74649103
"Grace Community Health Center, Inc.",934 S Laurel Rd STE 1,,606-526-8604,michael.stanley@gracehealthky.org,,London,KY,40744-8303,-84.06597578,37.09459043
BIGHORN VALLEY HEALTH CENTER INC,101 Makata St FL 1,,406-665-4103,,,Crow Agency,MT,59022-7066,-107.4581468,45.60377364
HERALD CHRISTIAN HEALTH CENTER,1661 Hanover Rd STE 103,,626-286-8700,,,City Of Industry,CA,91748-5705,-117.9209907,33.991084
Omni Family Health,2505 Merced St,www.OmniFamilyHealth.org,866-707-6664,,,Fresno,CA,93721-1811,-119.7879992,36.74080962
"Intercommunity, Inc.",40 Butternut Dr,,860-569-5900 x158,kimbeauregard@intercommunityct.org,,East Hartford,CT,06118-1906,-72.59645666,41.75527657
"CABIN CREEK HEALTH SYSTEMS, INC.",104 Alex Ln,,681-341-4014,zhanna.crabtree@cchswv.org,,Charleston,WV,25304-2952,-81.56583301,38.30487338
"URBAN HEALTH PLAN, INC.",999 Freeman St,www.urbanhealthplan.org,718-893-2348,paloma.hernandez@urbanhealthplan.org,,Bronx,NY,10459-2153,-73.88779035,40.82952135
"Shalom Health Care Center, Inc.",2302 E Michigan St Rm 404,,317-226-4615,,,Indianapolis,IN,46201-3112,-86.12191799,39.77526699
"CINCINNATI HEALTH NETWORK INC, THE",4138 Hamilton Ave,,513-386-7899,kbennett@cintihealthnetwork.org,,Cincinnati,OH,45223-2293,-84.53938491,39.16134694
"KAGMAN COMMUNITY HEALTH CENTER, INC",5 GRAND STREET,www.kagmanchc.org,670-256-5248,,,Tinian,MP,96952,145.628,15.02000554
WESTERN WAYNE FAMILY HEALTH CENTERS,26650 Eureka Rd,wwfhc.org,,,,Taylor,MI,48180-4835,-83.29781718,42.1967212
"Bronx Community Health Network, Inc",977 Fox St,,718-860-4340,dagu@bchnhealth.org,,Bronx,NY,10459-3320,-73.89403956,40.82209184
FAIR HAVEN COMMUNITY HEALTH CLINIC INC,221 W Main St,,203-777-7411,,,Branford,CT,06405-4022,-72.85524692,41.27786583
