Health Center Name,Address,Website,Phone Number,Email,,City,State,Zip,Latitude,Longitude
GASTON FAMILY HEALTH SERVICES INC,"991 W Hudson Blvd, 991 W Hudson Blvd, Gastonia, NC 28052-6430",www.kintegra.org,,,,Gastonia,NC,28052-6430,35.233875,-81.202861
Cedar-Riverside Peoples Center,"425 20th Ave S, 425 20th Ave S, Minneapolis, MN 55454-4400",http://www.peoples-center.org,612-238-3521,walsht@peoples-center.org,,Minneapolis,MN,55454-4400,44.969164,-93.243786
"LAKES COMMUNITY HEALTH CENTER, INC., THE","7665 US Highway 2, 7665 US Highway 2, Iron River, WI 54847-4690",,,,,Iron River,WI,54847-4690,46.564968,-91.414776
Martin Luther King Jr Family Clinic Inc,"2922B Martin Luther King Jr Blvd, 2922B Martin Luther King Jr Blvd, Dallas, TX 75215-2321",www.foremostfhc.org,,,,Dallas,TX,75215-2321,32.769385,-96.765978
"RURAL HEALTH CARE, INC.","202 Island Dr Ste 1, 202 Island Dr Ste 1, Fort Pierre, SD 57532-7303",www.ruralhc.net,,,,Fort Pierre,SD,57532-7303,44.368172,-100.374254
"Legacy Community Health Services, Inc.","1415 California St, 1415 California St, Houston, TX 77006-2602",www.legacycommunityhealth.org,832-548-5170,calexander@legacycommunityhealth.org,,Houston,TX,77006-2602,29.744983,-95.394107
SAMUEL DIXON FAMILY HEALTH CEN,"25115 Avenue Stanford Ste 104, 25115 Avenue Stanford Ste 104, Valencia, CA 91355-4794",,661-257-2339 x301,chris@sdfhc.org,,Valencia,CA,91355-4794,34.439741,-118.634816
BeverlyCare,"1920 W Whittier Blvd, 1920 W Whittier Blvd, Montebello, CA 90640-4009",www.Beverlycare.org,323-725-5073,cnakamatsu@beverlycare.org,,Montebello,CA,90640-4009,34.013307,-118.122164
Centro San Vicente,"8061 Alameda Ave, 8061 Alameda Ave, El Paso, TX 79915-4705",www.sanvicente.org,,,,El Paso,TX,79915-4705,31.723447,-106.355368
AJO COMMUNITY HEALTH CENTER,"410 N Malacate St Frnt, 410 N Malacate St Frnt, Ajo, AZ 85321-2201",www.desertsenita.org,520-387-5651 x3007,jleonard@desertsenita.org,,Ajo,AZ,85321-2201,32.375575,-112.863668
"Citrus Health Network, Inc.","4175 W 20th Ave, 4175 W 20th Ave, Hialeah, FL 33012-5874",,,,,Hialeah,FL,33012-5874,25.859735,-80.321642
"Three Lower Counties Community Services, Inc.","32033 Beaver Run Dr, 32033 Beaver Run Dr, Salisbury, MD 21804-1773",https://chesapeakehc.org,410-749-1015 x1608,jswanton@chesapeakehc.org,,Salisbury,MD,21804-1773,38.376355,-75.502024
La Casa De Buena Salud Inc,"1515 W Fir St, 1515 W Fir St, Portales, NM 88130-5703",www.lacasahealth.com,,,,Portales,NM,88130-5703,34.185872,-103.351482
"SISKIYOU COMMUNITY HEALTH CENTER, INC.","1701 NW Hawthorne Ave # 201, 1701 NW Hawthorne Ave # 201, Grants Pass, OR 97526-1051",www.siskiyouhealthcenter.com,541-955-6053 x1136,bmckee@siskiyouhealthcenter.com,,Grants Pass,OR,97526-1051,42.457866,-123.327493
"Houston Community Health Centers, Inc.","424 Hahlo St, 424 Hahlo St, Houston, TX 77020-3022",www.denverharborclinic.org,713-343-5451,koshaughnessy@vecinohealthcenters.org,,Houston,TX,77020-3022,29.780651,-95.309866
"NEIGHBORHOOD HEALTH CENTER OF WNY, INC.","155 Lawn Ave, 155 Lawn Ave, Buffalo, NY 14207-1816",nwbchcc.org,,,,Buffalo,NY,14207-1816,42.950253,-78.887928
Health Care Coalition of Lafayette County,"825 S Business Highway 13, 825 S Business Highway 13, Lexington, MO 64067-1515",,816-728-2704,deana.loyd@hccnetwork.org,,Lexington,MO,64067-1515,39.14086,-93.849284
Family Medical Center of Michigan Inc,"8765 Lewis Ave, 8765 Lewis Ave, Temperance, MI 48182-9583",,,,,Temperance,MI,48182-9583,41.775059,-83.568835
Presbyterian Medical Services,"1422 Paseo De Peralta, 1422 Paseo De Peralta, Santa Fe, NM 87501-4391",,505-820-3475,lisa.stephens@pmsnm.org,,Santa Fe,NM,87501-4391,35.681484,-105.944681
Maniilaq Association,"2nd Ave, 2nd Ave, Kotzebue, AK 99752",www.maniilaq.org,907-442-7150,phansen@maniilaq.org,,Kotzebue,AK,99752,66.865256,-161.780844
"G.A. CARMICHAEL FAMILY HEALTH CENTER, INC.","1668 W Peace St, 1668 W Peace St, Canton, MS 39046-5332",www.gacfhc.org,601-859-5213 x1021,jknox@gacfhc.org,,Canton,MS,39046-5332,32.602254,-90.077128
Access Health Louisiana,"2900 Indiana Ave, 2900 Indiana Ave, Kenner, LA 70065-4605",www.accesshealthla.org,,,,Kenner,LA,70065-4605,30.009966,-90.235881
"North Florida Medical Centers, Inc.","2804 Remington Green Cir, 2804 Remington Green Cir, Tallahassee, FL 32308-8707",,,,,Tallahassee,FL,32308-8707,30.492188,-84.243997
FRONTERA HEALTHCARE NETWORK,"604 Eaker Street, 604 Eaker Street, Eden, TX 76837",N/A,325-869-5500,mspeck@fronterahn.org,,Eden,TX,76837,31.221255,-99.847438
"La Maestra Family Clinic, Inc.","4060 Fairmount Ave, 4060 Fairmount Ave, San Diego, CA 92105-1608",,,,,San Diego,CA,92105-1608,32.750623,-117.101216
"Little River Medical Center, Inc.","4303 Live Oak Dr, 4303 Live Oak Dr, Little River, SC 29566-9138",http://www.lrmcenter.com/,843-663-8001,pdavis@lrmcenter.com,,Little River,SC,29566-9138,33.883378,-78.599589
PCC COMMUNITY WELLNESS CENTER,"14 Lake St, 14 Lake St, Oak Park, IL 60302-2606",www.pccwellness.org,,,,Oak Park,IL,60302-2606,41.888206,-87.775579
Katahdin Valley Health Center,"529 S Patten Rd, 529 S Patten Rd, Patten, ME 04765-3007",www.kvhc.org,,,,Patten,ME,04765-3007,45.958562,-68.452736
Neighborhood Healthcare,"425 N Date St Ste 203, 425 N Date St Ste 203, Escondido, CA 92025-3413",,760-520-8375,rakeshp@nhcare.org,,Escondido,CA,92025-3413,33.128975,-117.072061
"Rural Health Network of Monroe County Florida, Inc","3706 N Roosevelt Blvd Ste D, 3706 N Roosevelt Blvd Ste D, Key West, FL 33040-4566",,305-517-6613 x321,tbeysolow@rhnmc.org,,Key West,FL,33040-4566,24.571822,-81.756282
SWLA Center For Health Services,"2000 Opelousas St, 2000 Opelousas St, Lake Charles, LA 70601-2641",www.swlahealth.org,,,,Lake Charles,LA,70601-2641,30.242064,-93.193052
BORREGO COMMUNITY HEALTH FOUNDATION,"4343 Yaqui Pass Rd, 4343 Yaqui Pass Rd, Borrego Springs, CA 92004",borregomedical.org,,,,Borrego Springs,CA,92004,33.193986,-116.329059
SALUD PARA LA GENTE,"195 Aviation Way Ste 200, 195 Aviation Way Ste 200, Watsonville, CA 95076-2059",,,,,Watsonville,CA,95076-2059,36.931109,-121.789504
Compass Community Health,"1634 11th St, 1634 11th St, Portsmouth, OH 45662-4526",www.compasscommunityhealth.org,,,,Portsmouth,OH,45662-4526,38.738594,-82.981732
Finger Lakes Migrant Health Care,"165 Main St, 165 Main St, Penn Yan, NY 14527-1205",,,,,Penn Yan,NY,14527-1205,42.663053,-77.054717
"RURAL HEALTH CARE, INC.","202 Island Dr Ste 1, 202 Island Dr Ste 1, Fort Pierre, SD 57532-7303",,,,,Fort Pierre,SD,57532-7303,44.368172,-100.374254
"El Proyecto Del Barrio, Inc.","8902 Woodman Ave, 8902 Woodman Ave, Arleta, CA 91331-6401",,,,,Arleta,CA,91331-6401,34.231422,-118.437276
"Alcona Citizens For Health, Inc.","1035 W Washington Ave, 1035 W Washington Ave, Alpena, MI 49707-2929",www.alconahealthcenters.org,,,,Alpena,MI,49707-2929,45.061681,-83.455283
"WAIANAE DISTRICT COMPREHENSIVE HEALTH AND HOSPITAL BOARD, INCORPORATED","86-260 Farrington Hwy, 86-260 Farrington Hwy, Waianae, HI 96792-3128",www.wcchc.com,,,,Waianae,HI,96792-3128,21.429908,-158.17915
"DIVERSITY HEALTH CENTER, INC.","301 Fraser Dr, 301 Fraser Dr, Hinesville, GA 31313-3749",www.diversityhc.org,,,,Hinesville,GA,31313-3749,31.845905,-81.590571
"Chespenn Health Services, Inc.","1510 Chester Pike Ste 200, 1510 Chester Pike Ste 200, Eddystone, PA 19022-1377",www.chespenn.com,,,,Eddystone,PA,19022-1377,39.866142,-75.341945
Anthony L. Jordan Health Corporation,"82 Holland St, 82 Holland St, Rochester, NY 14605-2131",www.jordanhealth.org,,,,Rochester,NY,14605-2131,43.169311,-77.602154
GASTON FAMILY HEALTH SERVICES INC,"991 W Hudson Blvd, 991 W Hudson Blvd, Gastonia, NC 28052-6430",www.kintegra.org,,,,Gastonia,NC,28052-6430,35.233875,-81.202861
"FAMILY HEALTH CENTERS OF SOUTHWEST FLORIDA, INC.","2256 Heitman St, 2256 Heitman St, Fort Myers, FL 33901-3744",www.fhcswf.org,,,,Fort Myers,FL,33901-3744,26.635547,-81.871324
"Compass Health, Inc.","1800 Community, 1800 Community, Clinton, MO 64735-8804",www.pathwaysonline.org,,,,Clinton,MO,64735-8804,38.392008,-93.769605
Cornell Scott-Hill Health Corporation,"400 Columbus Ave, 400 Columbus Ave, New Haven, CT 06519-1233",www.cornellscott.org,,,,New Haven,CT,06519-1233,41.297243,-72.939657
"Agape Community Health Center, Inc.","1880 Edgewood Ave W, 1880 Edgewood Ave W, Jacksonville, FL 32208-3021",,904-635-4637,jimmie.clements@agapefamilyhealth.org,,Jacksonville,FL,32208-3021,30.384366,-81.689448
Community Health Centers of Greater Dayton,"1323 W 3rd St, 1323 W 3rd St, Dayton, OH 45402-6714",www.communityhealthdayton.org,,,,Dayton,OH,45402-6714,39.755972,-84.217249
"Caring Health Center, Inc.","1049 Main St, 1049 Main St, Springfield, MA 01103-2114",www.caringhealth.org,413-693-1016,jjohnson@caringhealth.org,,Springfield,MA,01103-2114,42.099721,-72.584782
NEW COMMUNITY CLINIC INC LTD,"622 Bodart St, 622 Bodart St, Green Bay, WI 54301-4923",,920-437-9773,newcomm@netnet.net,,Green Bay,WI,54301-4923,44.514578,-88.007471
"Hopewell Health Centers, Inc.","1049 Western Ave, 1049 Western Ave, Chillicothe, OH 45601-1104",,,,,Chillicothe,OH,45601-1104,39.33362,-83.012907
"Community Health Clinics, Inc.","211 16th Ave N, 211 16th Ave N, Nampa, ID 83687-4058",www.trhs.org,208-467-4431,tfife@trhs.org,,Nampa,ID,83687-4058,43.579188,-116.551611
"Columbus Neighborhood Health Center, Inc.","2780 Airport Dr Ste 100, 2780 Airport Dr Ste 100, Columbus, OH 43219-2289",www.primaryonehealth.org,614-859-1946,ctavares@primaryonehealth.org,,Columbus,OH,43219-2289,39.998446,-82.934758
"Boston Health Care For The Homeless Program, Inc., The","780 Albany St, 780 Albany St, Boston, MA 02118-2755",,,,,Boston,MA,02118-2755,42.333647,-71.072802
REGENTS OF THE UNIVERSITY OF MINNESOTA,"200 Oak St SE # 224, 200 Oak St SE # 224, Minneapolis, MN 55455-2009",www.cuhcc.umn.edu,,,,Minneapolis,MN,55455-2009,44.975392,-93.227773
Family and Medical Counseling Service Inc,"2041 Martin Luther King Jr Ave SE Ste 303, 2041 Martin Luther King Jr Ave SE Ste 303, Washington, DC 20020-7036",www.fmcsinc.org,202-889-7900 x217,fhamilton@fmcsinc.org,,Washington,DC,20020-7036,38.86593,-76.989829
Visiting Nurse Association Of Central Jersey Community Health Center,"1301 Main St, 1301 Main St, Asbury Park, NJ 07712-5359",http://vnachc.org/,732-502-5151,thamas.thees@vnahg.org,,Asbury Park,NJ,07712-5359,40.226102,-74.010457
"Health, Florida Department of","4052 Bald Cypress Way B-20 B02 Rm 3330 G-A, 4052 Bald Cypress Way B-20 B02 Rm 3330 G-A, Tallahassee, FL 32399-0001",,850-245-4534,kenol.saint-fort@flhealth.gov,,Tallahassee,FL,32399-0001,30.389639,-84.229921
"Tug River Health Association, Inc","WV-103, WV-103, Gary, WV 24836",,,,,Gary,WV,24836,37.363265,-81.530585
Mainline Health Systems Inc,"233 N Main St, 233 N Main St, Portland, AR 71663-9230",,,,,Portland,AR,71663-9230,33.239029,-91.51166
"Low Country Health Care System, Inc.","333 Revolutionary Trl, 333 Revolutionary Trl, Fairfax, SC 29827-7109",,,,,Fairfax,SC,29827-7109,32.975624,-81.292412
"Borinquen Health Care Center, Inc.","3601 Federal Hwy, 3601 Federal Hwy, Miami, FL 33137-3795",,305-788-5055,pvelez@borinquenhealth.org,,Miami,FL,33137-3795,25.810914,-80.190621
"Ritchie County Primary Care Assoc., Inc.","135 S Penn Ave, 135 S Penn Ave, Harrisville, WV 26362-1371",www.rcpca.org,,,,Harrisville,WV,26362-1371,39.209687,-81.04341
"BALTIMORE MEDICAL SYSTEM, INC.","3501 Sinclair Ln, 3501 Sinclair Ln, Baltimore, MD 21213-2029",http://www.baltimorecityschools.org/Domain/3940,,,,Baltimore,MD,21213-2029,39.313016,-76.568444
"LAKES COMMUNITY HEALTH CENTER, INC., THE","7665 US Highway 2, 7665 US Highway 2, Iron River, WI 54847-4690",http://northlakesclinic.org,,,,Iron River,WI,54847-4690,46.564968,-91.414776
"Oneworld Community Health Centers, Inc.","4920 S 30th St Ste 103, 4920 S 30th St Ste 103, Omaha, NE 68107-1656",www.oneworldomaha.org,402-502-8842,askolkin@oneworldomaha.org,,Omaha,NE,68107-1656,41.209888,-95.955775
"Rainelle Medical Center, Inc.","176 Medical Center Dr, 176 Medical Center Dr, Rainelle, WV 25962-1064",,,,,Rainelle,WV,25962-1064,37.968546,-80.778647
"Borinquen Health Care Center, Inc.","3601 Federal Hwy, 3601 Federal Hwy, Miami, FL 33137-3795",www.borinquenhealth.org,305-788-5055,pvelez@borinquenhealth.org,,Miami,FL,33137-3795,25.810914,-80.190621
"Goshen Medical Center, Inc.","444 SW Center St, 444 SW Center St, Faison, NC 28341-8820",goshenmedical.org,,,,Faison,NC,28341-8820,35.110256,-78.136034
"Unity Health Care, Inc.","1100 New Jersey Ave SE Ste 500, 1100 New Jersey Ave SE Ste 500, Washington, DC 20003-3326",www.unityhealthcare.org,,,,Washington,DC,20003-3326,38.876959,-77.003945
"Mattapan Community Health Center, Inc.","1575 Blue Hill Ave, 1575 Blue Hill Ave, Mattapan, MA 02126-2122",,,,,Mattapan,MA,02126-2122,42.269957,-71.094037
ELLIS COUNTY COALITION FOR HEALTH OPTIONS,"201 Ferris Ave Ste J, 201 Ferris Ave Ste J, Waxahachie, TX 75165-3660",,,,,Waxahachie,TX,75165-3660,32.388093,-96.850214
"NEIGHBORHOOD HEALTH ASSOCIATION OF TOLEDO, INC.","313 Jefferson Ave, 313 Jefferson Ave, Toledo, OH 43604-1004",www.nhainc.org,,,,Toledo,OH,43604-1004,41.649702,-83.535515
"TREASURE COAST COMMUNITY HEALTH, INC.","12196 County Road 512, 12196 County Road 512, Fellsmere, FL 32948-5463",,,,,Fellsmere,FL,32948-5463,27.768483,-80.57668
"Central Mississippi Civic Improvement Association, Inc.","3502 W Northside Dr, 3502 W Northside Dr, Jackson, MS 39213-4454",www.jackson-hinds.com,,,,Jackson,MS,39213-4454,32.356803,-90.233984
"Morris Heights Health Center, Inc.","85 W Burnside Ave, 85 W Burnside Ave, Bronx, NY 10453-4015",www.mhhc.org,,,,Bronx,NY,10453-4015,40.854693,-73.910352
"Community Health Services, Incorporated","500 Albany Ave, 500 Albany Ave, Hartford, CT 06120-2508",,860-808-8794,michelle.smithcotto@chshartford.org,,Hartford,CT,06120-2508,41.777896,-72.684978
Chuuk State Department of Health Services,"Nantaku, Weno DHS BLDG, Nantaku, Weno DHS BLDG, Chuuk, FM 96942",,,,,Chuuk,FM,96942,0,0
"HEALTHFIRST BLUEGRASS, INC.","450 Southland Dr Ste E, 450 Southland Dr Ste E, Lexington, KY 40503-1831",,,,,Lexington,KY,40503-1831,38.01919,-84.528456
PROJECT VIDA HEALTH CENTER,"3607 Rivera Ave, 3607 Rivera Ave, El Paso, TX 79905-2415",http://www.projectvidaelpaso.org/,,,,El Paso,TX,79905-2415,31.771471,-106.450874
"CORNERSTONE CARE, INC.","7 Glassworks Rd, 7 Glassworks Rd, Greensboro, PA 15338-9507",www.cornerstonecare.com,724-943-3308 x127,rrinehart@cornerstonecare.com,,Greensboro,PA,15338-9507,39.800884,-79.915456
"GREAT SALT PLAINS HEALTH CENTER, INC.","405 S Oklahoma Ave, 405 S Oklahoma Ave, Cherokee, OK 73728-2545",,,,,Cherokee,OK,73728-2545,36.753622,-98.35852
"ISLANDS COMMUNITY MEDICAL SERVICES, INC.","15 Medical Center Loop, 15 Medical Center Loop, Vinalhaven, ME 04863-4119",,207-863-4341,rtolman@icmsvh.org,,Vinalhaven,ME,04863-4119,44.046483,-68.83068
Healthreach Community Health Centers,"10 Water St Ste 305, 10 Water St Ste 305, Waterville, ME 04901-6566",www.healthreachchc.org,,,,Waterville,ME,04901-6566,44.546162,-69.629546
"Kinston Community Health Center, Incorporated","324 N Queen St, 324 N Queen St, Kinston, NC 28501-4932",https://www.lcpsnc.org/northwest,,,,Kinston,NC,28501-4932,35.26327,-77.581596
"COMMUNITY MEDICAL CENTERS, INC.","7210 Murray Dr, 7210 Murray Dr, Stockton, CA 95210-3339",,209-373-2826,cnoguera@communitymedicalcenters.org,,Stockton,CA,95210-3339,38.015926,-121.300622
"Butler County Community Health Consortium, Inc.","300 High St # 4, 300 High St # 4, Hamilton, OH 45011-6078",https://www.myprimaryhealthsolutions.org/,,,,Hamilton,OH,45011-6078,39.399393,-84.559924
Swope Health Services,"3801 Dr Martin Luther King Jr Blvd, 3801 Dr Martin Luther King Jr Blvd, Kansas City, MO 64130-2807",www.swopehealth.org,,,,Kansas City,MO,64130-2807,39.181424,-94.626028
FAMILY HEALTH SERVICES OF ERIE COUNTY,"1912 Hayes Ave, 1912 Hayes Ave, Sandusky, OH 44870-4736",,,,,Sandusky,OH,44870-4736,41.437423,-82.712728
"All For Health, Health For All, Inc.","519 E Broadway, 519 E Broadway, Glendale, CA 91205-1110",,530-877-3426 x106,alan@garybess.com,,Glendale,CA,91205-1110,34.146611,-118.249213
"Boston Health Care For The Homeless Program, Inc., The","780 Albany St, 780 Albany St, Boston, MA 02118-2755",,,,,Boston,MA,02118-2755,42.333647,-71.072802
"Hudson River Healthcare, Inc.","1037 Main St, 1037 Main St, Peekskill, NY 10566-2913",www.hrhcare.org,914-924-4923,lreid@hrhcare.org,,Peekskill,NY,10566-2913,41.291472,-73.918324
ALL-INCLUSIVE COMMUNITY HEALTH CENTER,"1311 N San Fernando Blvd, 1311 N San Fernando Blvd, Burbank, CA 91504-4236",http://www.aichc.org,,,,Burbank,CA,91504-4236,34.189508,-118.32094
MyCare Health Center,"6800 E 10 Mile Rd, 6800 E 10 Mile Rd, Center Line, MI 48015-1167",www.mycarehealthcenter.org,,,,Center Line,MI,48015-1167,42.477034,-83.036037
INNER CITY MUSLIM ACTION NETWORK,"2744 W 63rd St, 2744 W 63rd St, Chicago, IL 60629-2343",https://www.imancentral.org/,,,,Chicago,IL,60629-2343,41.779415,-87.69275
"Legacy Community Health Services, Inc.","1415 California St, 1415 California St, Houston, TX 77006-2602",https://legacycommunityhealth.org,832-548-5170,calexander@legacycommunityhealth.org,,Houston,TX,77006-2602,29.744983,-95.394107
WINN COMMUNITY HEALTH CENTER,"201 Cherokee Dr, 201 Cherokee Dr, Winnfield, LA 71483-3131",,,,,Winnfield,LA,71483-3131,31.926561,-92.617612
"Shalom Health Care Center, Inc.","3400 Lafayette Rd Ste 200, 3400 Lafayette Rd Ste 200, Indianapolis, IN 46222-1147",,,,,Indianapolis,IN,46222-1147,39.81755,-86.229619
SANTA ROSA COMMUNITY HEALTH CENTERS,"3569 Round Barn Cir, 3569 Round Barn Cir, Santa Rosa, CA 95403-5781",,,,,Santa Rosa,CA,95403-5781,38.479742,-122.729627
Fair Haven Community Health Clinic Inc,"374 Grand Ave, 374 Grand Ave, New Haven, CT 06513-3733",,203-777-7411,j.oggenfuss@fhchc.org,,New Haven,CT,06513-3733,41.308241,-72.902248
"La Clinica Del Valle Family Health Care Center, Inc.","3617 S Pacific Hwy, 3617 S Pacific Hwy, Medford, OR 97501-8957",,,,,Medford,OR,97501-8957,42.287395,-122.831922
"Southern Illinois Health Care Foundation, Inc.","2041 Goose Lake Rd, 2041 Goose Lake Rd, Sauget, IL 62206-2822",,618-215-8148,pbrodie@sihf.org,,Sauget,IL,62206-2822,38.564941,-90.13541
"PREFERRED FAMILY HEALTHCARE, INCORPORATED","900 E Laharpe St, 900 E Laharpe St, Kirksville, MO 63501-4520",www.pfh.org,,,,Kirksville,MO,63501-4520,40.179261,-92.582842
"La Maestra Family Clinic, Inc.","4060 Fairmount Ave, 4060 Fairmount Ave, San Diego, CA 92105-1608",www.lamaestra.org,,,,San Diego,CA,92105-1608,32.750623,-117.101216
"COMMUNITY HEALTH CENTER, INCORPORATED","635 MN ST, 635 MN ST, Middletown, CT 06457",,860-347-6602,mark@chc1.com,,Middletown,CT,6457,41.564516,-72.652628
"Community Health Centers Of The Central Coast, Inc.","150 Tejas Pl, 150 Tejas Pl, Nipomo, CA 93444-9123",,,,,Nipomo,CA,93444-9123,35.026707,-120.498603
"Hudson River Healthcare, Inc.","1037 Main St, 1037 Main St, Peekskill, NY 10566-2913",,914-924-4923,lreid@hrhcare.org,,Peekskill,NY,10566-2913,41.291472,-73.918324
"Community Care of West Virginia, Inc.","37 W Main St, 37 W Main St, Buckhannon, WV 26201-2235",,,,,Buckhannon,WV,26201-2235,38.993939,-80.231551
"SANTA CRUZ, COUNTY OF","1080 Emeline Ave, 1080 Emeline Ave, Santa Cruz, CA 95060-1966",www.santacruzhealth.org,,,,Santa Cruz,CA,95060-1966,36.991892,-122.016688
"Community Health Centers Of Southeastern Iowa, Inc","1706 W Agency Rd, 1706 W Agency Rd, West Burlington, IA 52655-1667",www.chcseia.com,,,,West Burlington,IA,52655-1667,40.812512,-91.175671
"North Shore Community Health, Inc.","47 Congress St Frnt, 47 Congress St Frnt, Salem, MA 01970-7311",www.nschi.org,978-825-1109,margaret.brennan@nschi.org,,Salem,MA,01970-7311,42.515811,-70.886206
"RIVER HILLS COMMUNITY HEALTH CENTER, INC.","201 S Market St, 201 S Market St, Ottumwa, IA 52501-2924",,,,,Ottumwa,IA,52501-2924,41.016912,-92.412151
"Walnut Street Community Health Center, Inc.","201 S Cleveland Ave, 201 S Cleveland Ave, Hagerstown, MD 21740-5745",www.walnutstreetchc.com,301-393-3420,michelle.phillips@familyhch.org,,Hagerstown,MD,21740-5745,39.636075,-77.711154
Fish River Rural Health,"10 Carter St, 10 Carter St, Eagle Lake, ME 04739-3060",www.frrh.org,,,,Eagle Lake,ME,04739-3060,47.036385,-68.594999
Massachusetts League Of Community Health Centers Inc,"40 Court St Fl 10, 40 Court St Fl 10, Boston, MA 02108-2212",http://www.hhcinc.org/,617-426-2225,ashepherd@massleague.org,,Boston,MA,02108-2212,42.35903,-71.05927
"PALMETTO HEALTH COUNCIL, INC","643 Main St, 643 Main St, Palmetto, GA 30268-1138",www.yourtownhealth.com,,,,Palmetto,GA,30268-1138,33.526547,-84.66339
CHEROKEE HEALTH SYSTEMS,"2018 Western Ave, 2018 Western Ave, Knoxville, TN 37921-5718",,,,,Knoxville,TN,37921-5718,35.966796,-83.945232
North East Medical Services,"1520 Stockton St, 1520 Stockton St, San Francisco, CA 94133-3354",,,,,San Francisco,CA,94133-3354,37.799941,-122.408725
"Caring Health Center, Inc.","1049 Main St, 1049 Main St, Springfield, MA 01103-2114",,413-693-1016,jjohnson@caringhealth.org,,Springfield,MA,01103-2114,42.099721,-72.584782
"Concilio De Salud Integral De Loiza, Inc.","187 PR-188, 187 PR-188, Can�vanas, PR 00729",N/A,,,,Can�vanas,PR,729,18.333093,-65.883864
"JUNIPER HEALTH, INC.","141 Main St, 141 Main St, Beattyville, KY 41311-7484",,606-666-9950,mike.ackley@juniperhealth.org,,Beattyville,KY,41311-7484,37.572807,-83.708688
YAKIMA VALLEY FARM WORKERS CLINIC,"604 W 1st Ave, 604 W 1st Ave, Toppenish, WA 98948-1500",www.yvfwc.com,,,,Toppenish,WA,98948-1500,46.374622,-120.318967
"Migrant Health Center Western Region, Inc.","491 Calle Dr Ramon Emeterio Betances S, 491 Calle Dr Ramon Emeterio Betances S, S�balos, PR 00680",www.migrantspr.com,787-833-5890 x0217,mhc@migrantspr.com,,S�balos,PR,680,18.181938,-67.133802
"Bronx Community Health Network, Inc","1 Fordham Plz Ste 1108, 1 Fordham Plz Ste 1108, Bronx, NY 10458-5871",www.montefiore.org,718-405-7727,dagu@bchnhealth.org,,Bronx,NY,10458-5871,40.860759,-73.890107
"COMMUNITY HEALTH CENTERS OF BURLINGTON, INC.","617 Riverside Ave, 617 Riverside Ave, Burlington, VT 05401-1601",,,,,Burlington,VT,05401-1601,44.489935,-73.206033
Cares Community Health,"1500 21st St, 1500 21st St, Sacramento, CA 95811-5216",www.onecommunityhealth.com,,,,Sacramento,CA,95811-5216,38.570666,-121.481781
"LAKES COMMUNITY HEALTH CENTER, INC., THE","7665 US Highway 2, 7665 US Highway 2, Iron River, WI 54847-4690",www.nlccwi.org,,,,Iron River,WI,54847-4690,46.564968,-91.414776
Circle the City,"300 W Clarendon Ave Ste 200, 300 W Clarendon Ave Ste 200, Phoenix, AZ 85013-3422",www.circlethecity.org,480-562-6730,astewart@circlethecity.org,,Phoenix,AZ,85013-3422,33.491725,-112.078577
"Central Virginia Health Services, Inc.","25892 N James Madison Hwy, 25892 N James Madison Hwy, New Canton, VA 23123-2234",www.cvhsinc.org,,,,New Canton,VA,23123-2234,37.636597,-78.359948
"Mission City Community Network, Inc.","15206 Parthenia St # 15210, 15206 Parthenia St # 15210, North Hills, CA 91343-5305",www.mccn.org,818-895-3100 x610,magdalenaa@mccn.org,,North Hills,CA,91343-5305,34.228101,-118.463813
"Southern California Medical Center, Inc.","14550 Haynes St, 14550 Haynes St, Van Nuys, CA 91411-1613",http://www.scmedcenter.org/,818-650-6700,okader@scmedcenter.org,,Van Nuys,CA,91411-1613,34.189512,-118.450542
Yehowa Medical Services,"24404 Vermont Ave Ste 201, 24404 Vermont Ave Ste 201, Harbor City, CA 90710-2321",http://www.ymedical.org/,,,,Harbor City,CA,90710-2321,33.802987,-118.289979
"Clinicas del Camino Real, Inc.","200 S Wells Rd Ste 200, 200 S Wells Rd Ste 200, Ventura, CA 93004-1377",,,,,Ventura,CA,93004-1377,34.293578,-119.159079
"Utah Navajo Health System, Inc.","UT-262, UT-262, Montezuma Creek, UT 84534",www.unhsinc.com,435-678-0301,aevans@unhsinc.org,,Montezuma Creek,UT,84534,37.25391,-109.106079
Turner House Clinic Inc.,"21 N 12th St Ste 300, 21 N 12th St Ste 300, Kansas City, KS 66102-5105",www.vibranthealthkc.org,913-320-2607,psallee@vibranthealthkc.org,,Kansas City,KS,66102-5105,39.104238,-94.63994
"CUMBERLAND FAMILY MEDICAL CENTER, INC.","360 Keen St Ste 500, 360 Keen St Ste 500, Burkesville, KY 42717-7944",,270-858-6655,tantle@cfmcky.com,,Burkesville,KY,42717-7944,36.769106,-85.408741
"EXCELTH, INCORPORATED","1515 Poydras St Ste 1070, 1515 Poydras St Ste 1070, New Orleans, LA 70112-4520",www.excelth.com,504-620-2200,swebb@excelth.com,,New Orleans,LA,70112-4520,29.952167,-90.078589
Pillars Community Health,"23 W Calendar Ave Ste 207, 23 W Calendar Ave Ste 207, La Grange, IL 60525-6327",,,,,La Grange,IL,60525-6327,41.815038,-87.870845
"North Florida Medical Centers, Inc.","2804 Remington Green Cir, 2804 Remington Green Cir, Tallahassee, FL 32308-8707",,,,,Tallahassee,FL,32308-8707,30.492188,-84.243997
